CBA000113700	1
CBA000113701	2
CBA000113702	3
CBA000113703	4
CBA000113704	5
CBA000113705	6
CBA000113706	7
CBA000113707	10
CBA000113708	12
CBA000113709	13
CBA000113710	14
CBA000113711	15
CBA000113712	16
CBA000113713	17
CBA000113714	18
CBA000113715	19
CBA000113716	20
CBA000113717	21
CBA000113718	24
CBA000113719	26
CBA000113720	32
CBA000126274	35
CBA000113721	36
CBA000113722	38
CBA000113723	42
CBA000113724	43
CBA000113725	44
CBA000113726	45
CBA000113727	47
CBA000113728	53
CBA000126275	54
CBA000126276	55
CBA000113729	59
CBA000113730	62
CBA000113731	63
CBA000113732	75
CBA000113733	80
CBA000113734	81
CBA000113735	83
CBA000126277	85
CBA000113736	88
CBA000113737	91
CBA000126278	93
CBA000113738	96
CBA000113739	99
CBA000126279	101
CBA000113740	102
CBA000113741	103
CBA000126280	104
CBA000126281	105
CBA000113742	108
CBA000113743	111
CBA000113744	112
CBA000113745	113
CBA000113746	120
CBA000113747	121
CBA000113748	122
CBA000113749	123
CBA000113750	124
CBA000113751	127
CBA000113752	130
CBA000113753	131
CBA000113754	139
CBA000113755	140
CBA000113756	142
CBA000126282	145
CBA000113757	147
CBA000113758	148
CBA000113759	156
CBA000113760	162
CBA000113761	165
CBA000126283	167
CBA000113762	168
CBA000113763	171
CBA000113764	173
CBA000113765	175
CBA000113766	176
CBA000113767	177
CBA000126284	178
CBA000113768	185
CBA000113769	186
CBA000113770	190
CBA000113771	193
CBA000113772	198
CBA000113773	199
CBA000113774	202
CBA000113775	203
CBA000113776	204
CBA000126285	206
CBA000113777	207
CBA000113778	209
CBA000113779	210
CBA000113780	211
CBA000126286	212
CBA000113781	213
CBA000113782	222
CBA000113783	224
CBA000113784	226
CBA000113785	227
CBA000113786	228
CBA000113787	231
CBA000113788	235
CBA000113789	237
CBA000113790	238
CBA000113791	241
CBA000113792	242
CBA000113793	243
CBA000113794	245
CBA000113795	246
CBA000113796	252
CBA000126287	253
CBA000126288	258
CBA000113797	264
CBA000113798	266
CBA000113799	267
CBA000113800	269
CBA000113801	275
CBA000113802	281
CBA000113803	283
CBA000113804	285
CBA000113805	290
CBA000113806	294
CBA000113807	296
CBA000113808	298
CBA000113809	299
CBA000113810	301
CBA000113811	304
CBA000113812	308
CBA000113813	310
CBA000113814	311
CBA000126289	323
CBA000113815	327
CBA000113816	328
CBA000113817	333
CBA000113818	338
CBA000113819	339
CBA000113820	340
CBA000113821	342
CBA000113822	344
CBA000113823	348
CBA000113824	350
CBA000126290	351
CBA000113825	355
CBA000113826	358
CBA000113827	361
CBA000113828	363
CBA000113829	367
CBA000113830	369
CBA000113831	370
CBA000113832	371
CBA000113833	372
CBA000113834	374
CBA000113835	378
CBA000126291	380
CBA000113836	381
CBA000113837	382
CBA000113838	384
CBA000113839	387
CBA000126292	389
CBA000113840	390
CBA000113841	394
CBA000113842	400
CBA000113843	403
CBA000113844	404
CBA000113845	405
CBA000113846	409
CBA000113847	414
CBA000113848	416
CBA000113849	418
CBA000113850	427
CBA000113851	428
CBA000113852	431
CBA000126293	432
CBA000113853	437
CBA000113854	438
CBA000113855	440
CBA000113856	443
CBA000126294	446
CBA000113857	447
CBA000113858	448
CBA000113859	449
CBA000113860	450
CBA000113861	454
